"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 57,,,,,,,38.46153846,76.92307692,38.46153846,,,,,,,38.46153846,38.46153846,,38.46153846,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 58,11.9047619,11.9047619,23.80952381,,,,,,11.9047619,,11.9047619,,,,,11.9047619,11.9047619,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 59,,,,,,90.90909091,,90.90909091,90.90909091,,,,90.90909091,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 60,,,19.60784314,,,,19.60784314,,,,,,,,,,,,19.60784314,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 62,,,,25,,,,,25,,,,,,,25,25,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 64,17.24137931,34.48275862,,,17.24137931,,,34.48275862,,,17.24137931,,,,,17.24137931,17.24137931,,,17.24137931
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 65,,,,,,,,,76.92307692,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 66,,,,,,,,,,,33.33333333,,,,,33.33333333,,,33.33333333,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 68,17.54385965,,,,,,,,,,,,,,,17.54385965,17.54385965,,17.54385965,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 69,,38.46153846,,,,,,38.46153846,,,,38.46153846,38.46153846,38.46153846,,,38.46153846,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 70,,,,,,,,,,,,,,,,,,55.55555556,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 71,,,,,,,,,,,,,,,,,,,111.1111111,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 75,,28.57142857,,,,,,,,,,28.57142857,,,28.57142857,,28.57142857,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 76,,105.2631579,,,157.8947368,105.2631579,,,105.2631579,,52.63157895,52.63157895,,52.63157895,,,,52.63157895,,52.63157895
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 77,,,,38.46153846,38.46153846,,,,,,,,,,38.46153846,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 82,,,,,,,,,,,,,,,166.6666667,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 84,66.66666667,,,,,66.66666667,,,,,,,,66.66666667,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 94,,,,,,,333.3333333,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 98,,250,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 101,,16.94915254,,16.94915254,,16.94915254,33.89830508,16.94915254,16.94915254,,,33.89830508,,33.89830508,,,33.89830508,33.89830508,50.84745763,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 106,,,,,,,29.41176471,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 108,27.77777778,,,,27.77777778,,,,,,,,,,,55.55555556,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 114,,,,,,,,,,,,,,,,,55.55555556,55.55555556,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 116,,,,,,,,,,,,,,,38.46153846,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 117,62.5,62.5,,,31.25,31.25,,31.25,,,,31.25,,31.25,93.75,62.5,31.25,,31.25,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 120,90.90909091,,,,,,,,,,,,,,,,90.90909091,,,90.90909091
