"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 550,,,,,,,12.98701299,,,12.98701299,,,,,,,,25.97402597,64.93506494,12.98701299
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 551,,333.3333333,,,,,,,,666.6666667,,,333.3333333,333.3333333,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 552,,,16.39344262,,16.39344262,16.39344262,16.39344262,16.39344262,,,,,,,16.39344262,32.78688525,16.39344262,,16.39344262,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 554,29.41176471,,,,,,,,29.41176471,,,,,,29.41176471,29.41176471,88.23529412,,,29.41176471
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 555,,,,,,,,,,,,,,,,,333.3333333,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 556,22.47191011,11.23595506,,33.70786517,22.47191011,22.47191011,22.47191011,,22.47191011,22.47191011,11.23595506,,22.47191011,,,22.47191011,44.94382022,11.23595506,22.47191011,11.23595506
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 558,,13.15789474,13.15789474,,26.31578947,,13.15789474,,,13.15789474,13.15789474,,,,26.31578947,26.31578947,,39.47368421,26.31578947,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 560,,5.208333333,10.41666667,10.41666667,10.41666667,10.41666667,15.625,,,5.208333333,,10.41666667,15.625,15.625,26.04166667,20.83333333,,31.25,15.625,5.208333333
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 562,48.19277108,36.14457831,36.14457831,12.04819277,24.09638554,12.04819277,24.09638554,12.04819277,36.14457831,36.14457831,,12.04819277,12.04819277,24.09638554,24.09638554,24.09638554,96.38554217,120.4819277,36.14457831,24.09638554
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 564,10.20408163,10.20408163,,20.40816327,10.20408163,10.20408163,20.40816327,,,30.6122449,10.20408163,,,,10.20408163,,51.02040816,40.81632653,30.6122449,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 566,11.49425287,,,22.98850575,11.49425287,,57.47126437,11.49425287,,,11.49425287,,,22.98850575,45.97701149,11.49425287,34.48275862,11.49425287,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 568,23.52941176,,11.76470588,11.76470588,23.52941176,23.52941176,11.76470588,11.76470588,11.76470588,,35.29411765,35.29411765,,23.52941176,23.52941176,11.76470588,23.52941176,11.76470588,23.52941176,11.76470588
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 570,15.15151515,15.15151515,15.15151515,,,,,15.15151515,,,,,,,75.75757576,15.15151515,15.15151515,75.75757576,15.15151515,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 574,9.900990099,19.8019802,,19.8019802,,,9.900990099,,,9.900990099,9.900990099,,9.900990099,,39.6039604,9.900990099,39.6039604,9.900990099,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 576,,,,13.15789474,,,,,,,13.15789474,13.15789474,,39.47368421,,26.31578947,13.15789474,,52.63157895,13.15789474
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 578,14.08450704,14.08450704,,,,,,,,,,14.08450704,,28.16901408,14.08450704,14.08450704,28.16901408,28.16901408,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 579,,,,,,,,,,,,250,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 580,,,,,,,,,,,,,,,,,,,35.0877193,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 582,,19.23076923,,,,,19.23076923,,,,19.23076923,38.46153846,19.23076923,19.23076923,,38.46153846,38.46153846,38.46153846,19.23076923,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 584,,,,14.28571429,14.28571429,,,14.28571429,14.28571429,,,42.85714286,14.28571429,,28.57142857,85.71428571,,28.57142857,57.14285714,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 586,12.34567901,12.34567901,24.69135802,24.69135802,12.34567901,,12.34567901,,,,12.34567901,,,12.34567901,12.34567901,,49.38271605,12.34567901,,12.34567901
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 588,,,,,20,,,20,,,,,,20,20,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 589,,,,,,,,,,,,,,,,,,,40,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 590,,,,29.41176471,29.41176471,,29.41176471,,,58.82352941,,,29.41176471,,,29.41176471,,58.82352941,29.41176471,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 592,,,,12.98701299,,,,,,,,,,,25.97402597,25.97402597,,,12.98701299,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 594.01,3.875968992,,7.751937984,,3.875968992,7.751937984,3.875968992,7.751937984,,,3.875968992,,,,3.875968992,3.875968992,11.62790698,3.875968992,7.751937984,3.875968992
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 594.02,,,4.424778761,,,,,4.424778761,,8.849557522,,,,4.424778761,,4.424778761,4.424778761,4.424778761,,4.424778761
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 596,,,,,,,,,,,,25.64102564,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 598,,23.80952381,,,23.80952381,,,,,,,23.80952381,,,23.80952381,,23.80952381,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 600,5.494505495,,,,,5.494505495,10.98901099,5.494505495,,5.494505495,,,,5.494505495,5.494505495,21.97802198,21.97802198,21.97802198,10.98901099,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 606,,,29.41176471,,29.41176471,,,,,,,,,,,,29.41176471,29.41176471,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 608,17.54385965,52.63157895,,,,,35.0877193,17.54385965,,,,17.54385965,,,35.0877193,,87.71929825,35.0877193,,35.0877193
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 610.01,,,17.24137931,,,34.48275862,,,,,,,17.24137931,17.24137931,51.72413793,,,17.24137931,34.48275862,17.24137931
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 610.02,,,,,,,41.66666667,41.66666667,,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 612,,,21.97802198,10.98901099,10.98901099,,,10.98901099,,,,,10.98901099,10.98901099,10.98901099,,32.96703297,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 614,,,23.52941176,23.52941176,,35.29411765,,11.76470588,,,,,,,,11.76470588,11.76470588,11.76470588,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 616,10.20408163,,30.6122449,,,,10.20408163,,10.20408163,20.40816327,,10.20408163,20.40816327,10.20408163,10.20408163,30.6122449,20.40816327,30.6122449,,10.20408163
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 618,14.59854015,7.299270073,,7.299270073,,,,,,,,,,14.59854015,7.299270073,,14.59854015,7.299270073,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 622,39.37007874,23.62204724,31.49606299,23.62204724,7.874015748,7.874015748,7.874015748,15.7480315,,7.874015748,31.49606299,,7.874015748,15.7480315,55.11811024,15.7480315,55.11811024,23.62204724,23.62204724,15.7480315
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 626,11.49425287,22.98850575,,11.49425287,11.49425287,11.49425287,,22.98850575,11.49425287,11.49425287,11.49425287,,,11.49425287,34.48275862,11.49425287,22.98850575,11.49425287,,22.98850575
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 628,7.376185458,15.8061117,5.268703899,6.322444679,13.69863014,7.376185458,12.64488936,18.96733404,4.214963119,15.8061117,14.75237092,6.322444679,12.64488936,12.64488936,28.45100105,21.0748156,22.12855638,22.12855638,16.85985248,8.429926238
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 632,,,,,,,25,,,25,25,,,25,25,,,,,25
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 636,10.75268817,10.75268817,21.50537634,10.75268817,,,,10.75268817,,10.75268817,,,21.50537634,10.75268817,10.75268817,43.01075269,75.2688172,53.76344086,75.2688172,32.25806452
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 638,,,,11.36363636,22.72727273,,,22.72727273,,,,,,,11.36363636,,34.09090909,11.36363636,34.09090909,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 640,,35.71428571,23.80952381,11.9047619,,23.80952381,35.71428571,47.61904762,35.71428571,,23.80952381,23.80952381,23.80952381,,35.71428571,23.80952381,35.71428571,59.52380952,23.80952381,47.61904762
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 642,20,20,,10,20,20,10,,,30,20,,30,,10,10,10,20,10,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 644,11.76470588,,11.76470588,,11.76470588,11.76470588,11.76470588,11.76470588,23.52941176,11.76470588,11.76470588,47.05882353,,23.52941176,23.52941176,11.76470588,58.82352941,35.29411765,35.29411765,23.52941176
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 646,28.84615385,19.23076923,,38.46153846,19.23076923,19.23076923,38.46153846,19.23076923,19.23076923,38.46153846,19.23076923,,9.615384615,19.23076923,9.615384615,19.23076923,86.53846154,67.30769231,48.07692308,9.615384615
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 648,12.82051282,51.28205128,12.82051282,25.64102564,,38.46153846,25.64102564,25.64102564,12.82051282,,12.82051282,64.1025641,12.82051282,,,12.82051282,64.1025641,38.46153846,25.64102564,51.28205128
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 650,14.28571429,14.28571429,,14.28571429,71.42857143,57.14285714,,,14.28571429,14.28571429,28.57142857,71.42857143,42.85714286,28.57142857,42.85714286,28.57142857,42.85714286,71.42857143,14.28571429,42.85714286
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 652,,27.39726027,13.69863014,27.39726027,27.39726027,,,,13.69863014,13.69863014,,,27.39726027,41.09589041,,27.39726027,82.19178082,41.09589041,41.09589041,13.69863014
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 654,11.49425287,11.49425287,22.98850575,22.98850575,34.48275862,22.98850575,34.48275862,,,22.98850575,,11.49425287,,22.98850575,,22.98850575,45.97701149,22.98850575,34.48275862,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 656,,21.73913043,21.73913043,10.86956522,10.86956522,43.47826087,10.86956522,10.86956522,10.86956522,,21.73913043,21.73913043,10.86956522,10.86956522,43.47826087,43.47826087,97.82608696,76.08695652,43.47826087,21.73913043
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 658,11.62790698,11.62790698,23.25581395,,,11.62790698,,34.88372093,,23.25581395,,,,11.62790698,69.76744186,58.13953488,46.51162791,34.88372093,46.51162791,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 660,12.34567901,24.69135802,12.34567901,12.34567901,,12.34567901,,12.34567901,12.34567901,12.34567901,,24.69135802,12.34567901,,12.34567901,12.34567901,12.34567901,37.03703704,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 662,29.41176471,14.70588235,,14.70588235,14.70588235,,,,,14.70588235,,14.70588235,14.70588235,14.70588235,29.41176471,,44.11764706,14.70588235,,14.70588235
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 670,,,,,15.625,15.625,,15.625,31.25,,31.25,31.25,,15.625,15.625,15.625,15.625,93.75,,15.625
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 672,,30.3030303,15.15151515,30.3030303,,,30.3030303,30.3030303,,60.60606061,106.0606061,30.3030303,30.3030303,45.45454545,60.60606061,75.75757576,106.0606061,60.60606061,60.60606061,60.60606061
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 674,,23.80952381,23.80952381,23.80952381,11.9047619,23.80952381,59.52380952,23.80952381,47.61904762,23.80952381,107.1428571,71.42857143,47.61904762,95.23809524,107.1428571,95.23809524,107.1428571,107.1428571,83.33333333,23.80952381
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 676,9.900990099,19.8019802,29.7029703,29.7029703,19.8019802,9.900990099,19.8019802,59.40594059,29.7029703,,19.8019802,19.8019802,9.900990099,19.8019802,9.900990099,49.5049505,99.00990099,79.20792079,39.6039604,9.900990099
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 678,,15.87301587,,63.49206349,47.61904762,31.74603175,15.87301587,15.87301587,,47.61904762,47.61904762,15.87301587,,31.74603175,79.36507937,63.49206349,31.74603175,15.87301587,63.49206349,31.74603175
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 680,11.9047619,23.80952381,23.80952381,11.9047619,35.71428571,59.52380952,83.33333333,47.61904762,71.42857143,119.047619,83.33333333,59.52380952,119.047619,154.7619048,154.7619048,119.047619,166.6666667,83.33333333,83.33333333,35.71428571
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 682,11.49425287,11.49425287,,,,68.96551724,11.49425287,11.49425287,11.49425287,103.4482759,57.47126437,34.48275862,45.97701149,80.45977011,103.4482759,80.45977011,80.45977011,126.4367816,80.45977011,22.98850575
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 686,23.25581395,23.25581395,,,23.25581395,,,23.25581395,23.25581395,,,,,,,,,,,
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 688,47.61904762,11.9047619,,23.80952381,11.9047619,47.61904762,35.71428571,35.71428571,35.71428571,23.80952381,59.52380952,47.61904762,,23.80952381,71.42857143,71.42857143,95.23809524,130.952381,47.61904762,11.9047619
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 690,34.09090909,22.72727273,11.36363636,34.09090909,34.09090909,34.09090909,11.36363636,56.81818182,22.72727273,79.54545455,68.18181818,56.81818182,79.54545455,,102.2727273,102.2727273,68.18181818,125,136.3636364,56.81818182
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 692,,11.9047619,35.71428571,35.71428571,23.80952381,35.71428571,47.61904762,47.61904762,59.52380952,95.23809524,83.33333333,71.42857143,71.42857143,83.33333333,190.4761905,119.047619,119.047619,83.33333333,142.8571429,59.52380952
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 696,4.273504274,,4.273504274,,25.64102564,4.273504274,8.547008547,8.547008547,12.82051282,4.273504274,17.09401709,8.547008547,12.82051282,21.36752137,38.46153846,34.18803419,89.74358974,51.28205128,25.64102564,8.547008547
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 698,51.28205128,25.64102564,12.82051282,25.64102564,25.64102564,12.82051282,51.28205128,12.82051282,,12.82051282,38.46153846,,12.82051282,,25.64102564,51.28205128,51.28205128,25.64102564,76.92307692,12.82051282
,"Notices of Foreclosure Rate, Single Family Homes (per 1,000 homes)","Rate of single family buildings homes receiving a notice of foreclosure action (lis pendens) per 1,000 single family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 700,57.14285714,28.57142857,,,57.14285714,14.28571429,14.28571429,42.85714286,28.57142857,28.57142857,14.28571429,14.28571429,14.28571429,28.57142857,14.28571429,28.57142857,200,71.42857143,71.42857143,57.14285714
