"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 56.02,,,,,,,,,,,,,,,,,,58.82352941,,58.82352941
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 57,,31.25,,31.25,,,,,,31.25,,,,,31.25,,31.25,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 58,,,27.02702703,,,,,,,,,,27.02702703,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 59,,,45.45454545,,,,,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,45.45454545,,,,45.45454545,45.45454545,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 63,,,,,,,,,,,,,,,,,,37.03703704,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 65,,,,,18.86792453,,18.86792453,,,18.86792453,18.86792453,,18.86792453,,,,18.86792453,37.73584906,18.86792453,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 66,29.41176471,,29.41176471,29.41176471,,,29.41176471,,,,,,,,,,,,,29.41176471
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 68,48.7804878,24.3902439,,,,,,,,,,,,,,,,,24.3902439,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 69,,30.3030303,,,,30.3030303,30.3030303,30.3030303,30.3030303,,,,,,,,30.3030303,30.3030303,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 70,,,,,47.61904762,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 71,,,55.55555556,,,,,55.55555556,55.55555556,,,,,,,,55.55555556,,55.55555556,
,"Notices of Foreclosure Rate, 5+ Family Buildings (per 1,000 buildings)","Rate of 5+ family apartment buildings receiving a notice of foreclosure action (lis pendens) per 1,000 5+ family buildings, <i>Source: Public Data Corporation, New York City Department of Finance, Furman Center</i>",Brooklyn 74,,,,,,,,,,,,,,27.77777778,,,,,,
