"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",63,21.73913043,86.95652174,21.73913043,43.47826087,,,21.73913043,21.73913043,,,,,,21.73913043,21.73913043,21.73913043,,,21.73913043,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",64,14.08450704,28.16901408,,,28.16901408,,,42.25352113,,14.08450704,14.08450704,14.08450704,,,,56.33802817,56.33802817,28.16901408,14.08450704,28.16901408
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",65,30.3030303,30.3030303,15.15151515,,60.60606061,,,15.15151515,30.3030303,45.45454545,,45.45454545,,60.60606061,30.3030303,45.45454545,60.60606061,60.60606061,30.3030303,15.15151515
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",66,31.25,,,,15.625,31.25,31.25,,,15.625,15.625,,,,15.625,31.25,31.25,31.25,46.875,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",67,,11.9047619,,23.80952381,11.9047619,,,,,,,,,,11.9047619,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",68,27.27272727,,,,,9.090909091,,,,,9.090909091,,,,,9.090909091,18.18181818,9.090909091,9.090909091,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",69,,27.39726027,13.69863014,27.39726027,13.69863014,13.69863014,,27.39726027,,,13.69863014,13.69863014,41.09589041,27.39726027,41.09589041,,27.39726027,,,13.69863014
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",70,,,,,30.76923077,,,30.76923077,,,,,,15.38461538,15.38461538,,15.38461538,46.15384615,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",71,14.28571429,14.28571429,,28.57142857,14.28571429,14.28571429,14.28571429,28.57142857,,14.28571429,28.57142857,14.28571429,28.57142857,42.85714286,100,71.42857143,,57.14285714,42.85714286,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",72,22.72727273,22.72727273,,,45.45454545,,22.72727273,68.18181818,22.72727273,22.72727273,,,,,,,,,,22.72727273
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",74,52.63157895,87.71929825,35.0877193,70.1754386,87.71929825,35.0877193,17.54385965,35.0877193,17.54385965,17.54385965,,35.0877193,52.63157895,35.0877193,70.1754386,70.1754386,87.71929825,87.71929825,70.1754386,17.54385965
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",75,38.46153846,38.46153846,51.28205128,12.82051282,12.82051282,,12.82051282,25.64102564,12.82051282,,25.64102564,25.64102564,,12.82051282,51.28205128,64.1025641,12.82051282,25.64102564,25.64102564,12.82051282
