"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,CensusTract,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",460.02,8.403361345,25.21008403,33.61344538,,,,,,,,,,,16.80672269,,,8.403361345,,,8.403361345
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",462.01,10.63829787,21.27659574,,,,21.27659574,21.27659574,10.63829787,10.63829787,,10.63829787,10.63829787,,,10.63829787,,21.27659574,85.10638298,10.63829787,10.63829787
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",462.02,,,43.95604396,21.97802198,10.98901099,21.97802198,21.97802198,21.97802198,10.98901099,43.95604396,10.98901099,,21.97802198,32.96703297,32.96703297,43.95604396,76.92307692,43.95604396,32.96703297,21.97802198
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",464,16.04278075,5.347593583,,10.69518717,21.39037433,26.73796791,21.39037433,5.347593583,10.69518717,21.39037433,5.347593583,,5.347593583,5.347593583,10.69518717,32.0855615,42.78074866,32.0855615,42.78074866,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",465,,,,,,16.39344262,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",468,4.672897196,,,,,,,14.01869159,4.672897196,,9.345794393,,4.672897196,,,32.71028037,28.03738318,18.69158879,4.672897196,4.672897196
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",470,21.27659574,31.91489362,53.19148936,10.63829787,21.27659574,,10.63829787,,,10.63829787,21.27659574,,10.63829787,21.27659574,10.63829787,10.63829787,10.63829787,63.82978723,42.55319149,42.55319149
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",472,44.44444444,22.22222222,22.22222222,33.33333333,11.11111111,22.22222222,33.33333333,22.22222222,,33.33333333,,11.11111111,22.22222222,11.11111111,,,44.44444444,55.55555556,,11.11111111
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",473,,,,43.47826087,,,,43.47826087,,,21.73913043,,,21.73913043,,21.73913043,21.73913043,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",474,23.80952381,47.61904762,,35.71428571,35.71428571,23.80952381,11.9047619,59.52380952,11.9047619,23.80952381,23.80952381,,23.80952381,11.9047619,59.52380952,47.61904762,95.23809524,47.61904762,35.71428571,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",476,10.86956522,10.86956522,21.73913043,32.60869565,21.73913043,21.73913043,,32.60869565,10.86956522,21.73913043,32.60869565,21.73913043,43.47826087,21.73913043,32.60869565,21.73913043,141.3043478,86.95652174,43.47826087,10.86956522
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",477,52.63157895,,10.52631579,,10.52631579,21.05263158,,,21.05263158,10.52631579,10.52631579,31.57894737,,10.52631579,21.05263158,21.05263158,105.2631579,21.05263158,,10.52631579
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",478,51.54639175,41.2371134,51.54639175,41.2371134,20.6185567,,20.6185567,10.30927835,,20.6185567,,41.2371134,,10.30927835,20.6185567,41.2371134,123.7113402,113.4020619,20.6185567,10.30927835
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",480,8.620689655,8.620689655,,,8.620689655,17.24137931,,17.24137931,8.620689655,,,,,,25.86206897,34.48275862,34.48275862,25.86206897,25.86206897,8.620689655
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",481,50,,,16.66666667,33.33333333,,,16.66666667,,16.66666667,,,33.33333333,16.66666667,16.66666667,33.33333333,,33.33333333,50,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",482,9.900990099,9.900990099,29.7029703,19.8019802,39.6039604,29.7029703,,29.7029703,19.8019802,19.8019802,9.900990099,19.8019802,,29.7029703,49.5049505,19.8019802,69.30693069,99.00990099,39.6039604,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",483,,22.22222222,,,22.22222222,22.22222222,,22.22222222,44.44444444,,22.22222222,22.22222222,22.22222222,,,66.66666667,22.22222222,,22.22222222,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",484,,24.09638554,,12.04819277,12.04819277,12.04819277,24.09638554,,,12.04819277,12.04819277,,,24.09638554,12.04819277,12.04819277,120.4819277,108.4337349,36.14457831,12.04819277
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",486,,,25,12.5,12.5,,,12.5,,12.5,25,,12.5,12.5,12.5,12.5,50,12.5,50,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",487,,,,,,,19.60784314,,,19.60784314,,19.60784314,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",488,43.47826087,10.86956522,10.86956522,10.86956522,21.73913043,,,10.86956522,,21.73913043,,10.86956522,32.60869565,,43.47826087,76.08695652,54.34782609,108.6956522,76.08695652,21.73913043
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",490,55.55555556,22.22222222,22.22222222,44.44444444,22.22222222,77.77777778,22.22222222,22.22222222,22.22222222,11.11111111,,11.11111111,22.22222222,33.33333333,,11.11111111,55.55555556,33.33333333,11.11111111,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",491,,,,,,,,,50,,,,50,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",492,47.61904762,47.61904762,47.61904762,35.71428571,47.61904762,35.71428571,23.80952381,35.71428571,11.9047619,11.9047619,,35.71428571,11.9047619,11.9047619,59.52380952,59.52380952,71.42857143,71.42857143,95.23809524,23.80952381
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",493,30.3030303,30.3030303,30.3030303,,,30.3030303,30.3030303,30.3030303,30.3030303,30.3030303,30.3030303,,,,,,,60.60606061,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",494,10.86956522,21.73913043,32.60869565,32.60869565,32.60869565,10.86956522,32.60869565,,21.73913043,10.86956522,10.86956522,,21.73913043,43.47826087,65.2173913,43.47826087,130.4347826,108.6956522,54.34782609,10.86956522
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",495,44.44444444,,,22.22222222,,,44.44444444,44.44444444,,,22.22222222,44.44444444,22.22222222,,,,,,22.22222222,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",496,9.345794393,9.345794393,,9.345794393,9.345794393,37.38317757,28.03738318,37.38317757,9.345794393,28.03738318,,37.38317757,28.03738318,37.38317757,46.72897196,56.07476636,46.72897196,46.72897196,46.72897196,18.69158879
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",497,22.22222222,,22.22222222,,,22.22222222,22.22222222,44.44444444,,,,22.22222222,22.22222222,66.66666667,,,,,22.22222222,22.22222222
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",498,17.09401709,8.547008547,,17.09401709,,8.547008547,17.09401709,8.547008547,,,17.09401709,8.547008547,8.547008547,,8.547008547,8.547008547,59.82905983,25.64102564,8.547008547,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",499,,23.25581395,,,,,,,,,23.25581395,,,46.51162791,,23.25581395,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",500,11.62790698,,11.62790698,11.62790698,,11.62790698,11.62790698,11.62790698,11.62790698,11.62790698,11.62790698,,11.62790698,11.62790698,11.62790698,,23.25581395,34.88372093,23.25581395,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",501,19.23076923,19.23076923,,,,,19.23076923,,19.23076923,,,,38.46153846,19.23076923,,19.23076923,38.46153846,19.23076923,,19.23076923
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",502.01,71.42857143,35.71428571,23.80952381,35.71428571,35.71428571,11.9047619,,,11.9047619,11.9047619,23.80952381,35.71428571,23.80952381,47.61904762,35.71428571,23.80952381,83.33333333,23.80952381,23.80952381,47.61904762
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",502.02,10.75268817,21.50537634,,21.50537634,,10.75268817,21.50537634,,,10.75268817,21.50537634,,,,21.50537634,,10.75268817,32.25806452,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",503,,,,20,,,,,,,20,,20,20,20,40,40,,,40
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",504,,,9.900990099,29.7029703,29.7029703,29.7029703,9.900990099,9.900990099,39.6039604,,19.8019802,9.900990099,29.7029703,19.8019802,39.6039604,29.7029703,59.40594059,49.5049505,29.7029703,39.6039604
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",505,,,,,50,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",506,30.3030303,,15.15151515,,15.15151515,45.45454545,,30.3030303,15.15151515,60.60606061,45.45454545,,,,30.3030303,15.15151515,30.3030303,60.60606061,15.15151515,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",507,,,,,,,,,,,,,,,200,,200,200,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",508,33.33333333,,66.66666667,133.3333333,,33.33333333,33.33333333,33.33333333,100,33.33333333,33.33333333,100,,,66.66666667,66.66666667,100,33.33333333,,33.33333333
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",509,,,,,,,21.73913043,,,,21.73913043,,,21.73913043,,65.2173913,21.73913043,21.73913043,43.47826087,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",510,,19.23076923,,,19.23076923,19.23076923,19.23076923,,,,38.46153846,,19.23076923,,19.23076923,38.46153846,38.46153846,,38.46153846,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",511,35.71428571,,35.71428571,35.71428571,,,,,,,,,,35.71428571,,,35.71428571,,35.71428571,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",512,37.03703704,,,,,37.03703704,,37.03703704,,,,,37.03703704,,37.03703704,,74.07407407,,,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",513,25.97402597,25.97402597,12.98701299,,51.94805195,,25.97402597,12.98701299,,,,,,,12.98701299,,25.97402597,38.96103896,12.98701299,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",514,81.63265306,81.63265306,40.81632653,,40.81632653,20.40816327,20.40816327,20.40816327,20.40816327,40.81632653,,40.81632653,20.40816327,,40.81632653,20.40816327,81.63265306,81.63265306,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",515,,,,38.46153846,,,38.46153846,,,,,,,,,76.92307692,,,38.46153846,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",516,32.5203252,40.6504065,32.5203252,16.2601626,32.5203252,48.7804878,24.3902439,24.3902439,24.3902439,48.7804878,8.130081301,8.130081301,24.3902439,16.2601626,40.6504065,8.130081301,48.7804878,16.2601626,16.2601626,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",518,,,23.25581395,,7.751937984,15.50387597,7.751937984,15.50387597,7.751937984,7.751937984,15.50387597,7.751937984,7.751937984,31.00775194,7.751937984,31.00775194,7.751937984,23.25581395,23.25581395,7.751937984
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",519,,40,,,20,20,40,20,,20,40,,20,,,,20,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",520,37.97468354,12.65822785,,12.65822785,37.97468354,25.3164557,37.97468354,12.65822785,,25.3164557,12.65822785,25.3164557,12.65822785,12.65822785,25.3164557,12.65822785,37.97468354,50.63291139,12.65822785,25.3164557
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",522,13.33333333,,,13.33333333,13.33333333,26.66666667,40,,13.33333333,40,13.33333333,,53.33333333,26.66666667,40,66.66666667,66.66666667,40,13.33333333,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",523,,,27.77777778,,,,,27.77777778,,,,,,,27.77777778,27.77777778,,27.77777778,138.8888889,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",524,18.51851852,18.51851852,46.2962963,27.77777778,27.77777778,37.03703704,37.03703704,9.259259259,,27.77777778,9.259259259,9.259259259,,,18.51851852,9.259259259,9.259259259,27.77777778,27.77777778,9.259259259
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",525,,,,,,,,,,50,,,,,,,50,150,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",526,27.77777778,13.88888889,,13.88888889,27.77777778,55.55555556,13.88888889,,13.88888889,13.88888889,13.88888889,,27.77777778,,27.77777778,,69.44444444,41.66666667,27.77777778,41.66666667
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",527,54.05405405,27.02702703,27.02702703,,54.05405405,13.51351351,40.54054054,27.02702703,13.51351351,13.51351351,27.02702703,,,,,,40.54054054,27.02702703,13.51351351,13.51351351
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",528,12.82051282,,,,38.46153846,12.82051282,12.82051282,12.82051282,,,,,,38.46153846,12.82051282,12.82051282,89.74358974,38.46153846,,25.64102564
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",529,15.38461538,46.15384615,30.76923077,46.15384615,,,30.76923077,30.76923077,,15.38461538,15.38461538,,,15.38461538,30.76923077,46.15384615,46.15384615,92.30769231,46.15384615,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",530,35.71428571,35.71428571,23.80952381,11.9047619,47.61904762,59.52380952,11.9047619,,11.9047619,35.71428571,11.9047619,,23.80952381,23.80952381,47.61904762,23.80952381,107.1428571,47.61904762,47.61904762,35.71428571
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",531,,,,,13.69863014,13.69863014,,,,,,,,,,,54.79452055,54.79452055,13.69863014,13.69863014
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",532,11.49425287,11.49425287,11.49425287,,11.49425287,,22.98850575,,,,11.49425287,,,34.48275862,57.47126437,11.49425287,45.97701149,57.47126437,45.97701149,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",533,72.46376812,57.97101449,43.47826087,57.97101449,57.97101449,43.47826087,28.98550725,14.49275362,14.49275362,14.49275362,,28.98550725,14.49275362,28.98550725,28.98550725,101.4492754,159.4202899,57.97101449,115.942029,57.97101449
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",534,48.7804878,12.19512195,24.3902439,24.3902439,12.19512195,24.3902439,24.3902439,60.97560976,,12.19512195,,12.19512195,36.58536585,73.17073171,60.97560976,48.7804878,48.7804878,134.1463415,97.56097561,12.19512195
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",535,20.40816327,20.40816327,,40.81632653,,,40.81632653,,61.2244898,40.81632653,40.81632653,20.40816327,40.81632653,,,20.40816327,61.2244898,20.40816327,,20.40816327
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",536,13.15789474,,,13.15789474,,,,,,,,,,26.31578947,13.15789474,,26.31578947,26.31578947,,13.15789474
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",537,,18.51851852,,,,37.03703704,,,,18.51851852,,,,,18.51851852,18.51851852,55.55555556,18.51851852,18.51851852,18.51851852
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",538,14.49275362,,28.98550725,,14.49275362,,,14.49275362,,,14.49275362,14.49275362,,14.49275362,14.49275362,28.98550725,101.4492754,28.98550725,28.98550725,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",539,,,38.46153846,,,76.92307692,,38.46153846,,,38.46153846,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",540,11.36363636,11.36363636,,11.36363636,11.36363636,,22.72727273,11.36363636,11.36363636,,,,11.36363636,11.36363636,,,45.45454545,22.72727273,22.72727273,11.36363636
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",542,31.57894737,31.57894737,21.05263158,10.52631579,52.63157895,52.63157895,42.10526316,42.10526316,10.52631579,31.57894737,10.52631579,21.05263158,21.05263158,,21.05263158,10.52631579,73.68421053,84.21052632,42.10526316,21.05263158
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",544,9.433962264,,9.433962264,18.86792453,,,,9.433962264,,9.433962264,9.433962264,,9.433962264,18.86792453,37.73584906,28.30188679,37.73584906,56.60377358,37.73584906,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",546,,,11.23595506,,,,,,11.23595506,,,,33.70786517,,22.47191011,22.47191011,56.17977528,67.41573034,44.94382022,11.23595506
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",547,,,,,33.33333333,,66.66666667,66.66666667,,,33.33333333,,,33.33333333,,,,166.6666667,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",548,,,34.48275862,11.49425287,34.48275862,,11.49425287,11.49425287,22.98850575,34.48275862,22.98850575,45.97701149,11.49425287,11.49425287,,68.96551724,57.47126437,34.48275862,22.98850575,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",549,,,,,,,,,,,,26.31578947,,52.63157895,,52.63157895,26.31578947,52.63157895,52.63157895,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",550,,,,,,,12.04819277,,,12.04819277,12.04819277,,,,,12.04819277,24.09638554,24.09638554,60.24096386,12.04819277
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",551,14.92537313,14.92537313,14.92537313,,,,14.92537313,14.92537313,44.7761194,44.7761194,14.92537313,,14.92537313,44.7761194,14.92537313,29.85074627,29.85074627,59.70149254,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",552,10.1010101,,40.4040404,,10.1010101,20.2020202,20.2020202,10.1010101,,,10.1010101,,,,30.3030303,40.4040404,20.2020202,10.1010101,20.2020202,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",553,23.80952381,,,,,,,,,,,,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",554,12.34567901,12.34567901,,12.34567901,,,,,24.69135802,,,12.34567901,12.34567901,,37.03703704,37.03703704,74.07407407,24.69135802,24.69135802,37.03703704
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",555,,,,,,,,,,,,,,,,,86.95652174,,43.47826087,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",556,23.07692308,7.692307692,7.692307692,23.07692308,15.38461538,15.38461538,23.07692308,,23.07692308,30.76923077,15.38461538,,30.76923077,,23.07692308,23.07692308,46.15384615,46.15384615,30.76923077,30.76923077
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",558,8.196721311,8.196721311,8.196721311,8.196721311,24.59016393,8.196721311,16.39344262,8.196721311,,16.39344262,16.39344262,8.196721311,,16.39344262,16.39344262,32.78688525,16.39344262,32.78688525,24.59016393,16.39344262
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",560,,3.676470588,7.352941176,7.352941176,7.352941176,11.02941176,11.02941176,,3.676470588,3.676470588,,7.352941176,11.02941176,11.02941176,18.38235294,14.70588235,3.676470588,25.73529412,11.02941176,3.676470588
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",562,47.61904762,47.61904762,35.71428571,11.9047619,23.80952381,11.9047619,23.80952381,11.9047619,35.71428571,35.71428571,,11.9047619,11.9047619,23.80952381,35.71428571,23.80952381,107.1428571,130.952381,47.61904762,23.80952381
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",563,27.39726027,,,27.39726027,,,13.69863014,13.69863014,13.69863014,,,,68.49315068,13.69863014,13.69863014,13.69863014,13.69863014,13.69863014,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",564,9.345794393,9.345794393,9.345794393,28.03738318,18.69158879,9.345794393,18.69158879,9.345794393,,37.38317757,18.69158879,9.345794393,,,9.345794393,,56.07476636,46.72897196,37.38317757,9.345794393
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",565,12.34567901,12.34567901,,12.34567901,,,,,,,,12.34567901,,,,,,12.34567901,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",566,11.11111111,,,22.22222222,22.22222222,,55.55555556,11.11111111,,,11.11111111,,,22.22222222,55.55555556,11.11111111,44.44444444,22.22222222,11.11111111,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",567,12.82051282,12.82051282,25.64102564,12.82051282,25.64102564,12.82051282,12.82051282,12.82051282,,,,,,12.82051282,,,25.64102564,12.82051282,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",568,31.91489362,,10.63829787,10.63829787,21.27659574,21.27659574,10.63829787,21.27659574,21.27659574,,31.91489362,31.91489362,,31.91489362,42.55319149,10.63829787,31.91489362,21.27659574,21.27659574,10.63829787
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",569,,,,17.24137931,,,17.24137931,17.24137931,,,17.24137931,,,,,17.24137931,17.24137931,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",570,12.5,25,12.5,12.5,12.5,,,12.5,,,,,,,62.5,12.5,25,75,12.5,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",571,,,13.88888889,,,27.77777778,,,,13.88888889,13.88888889,,,,13.88888889,13.88888889,27.77777778,13.88888889,27.77777778,41.66666667
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",573,13.33333333,,,,13.33333333,13.33333333,13.33333333,,,,,13.33333333,13.33333333,13.33333333,,40,,,40,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",574,18.34862385,18.34862385,9.174311927,27.52293578,9.174311927,9.174311927,18.34862385,,9.174311927,9.174311927,9.174311927,9.174311927,9.174311927,,64.22018349,9.174311927,73.39449541,18.34862385,,18.34862385
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",575,,35.0877193,,,,,17.54385965,,,,17.54385965,17.54385965,,17.54385965,,17.54385965,,52.63157895,17.54385965,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",576,,11.36363636,,11.36363636,11.36363636,11.36363636,11.36363636,,,,11.36363636,22.72727273,,56.81818182,11.36363636,45.45454545,34.09090909,,79.54545455,11.36363636
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",578,13.33333333,13.33333333,,,,,,13.33333333,,,,13.33333333,,26.66666667,13.33333333,13.33333333,40,26.66666667,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",579,,,,,,,,,,,,41.66666667,,,,,,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",580,,,,11.49425287,,,11.49425287,,,,,,,,11.49425287,11.49425287,11.49425287,22.98850575,34.48275862,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",582,12.5,12.5,,25,25,,25,,,,25,37.5,12.5,25,25,50,50,50,25,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",584,20.83333333,10.41666667,10.41666667,10.41666667,20.83333333,,,10.41666667,10.41666667,10.41666667,,31.25,20.83333333,,20.83333333,72.91666667,20.83333333,41.66666667,52.08333333,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",586,9.900990099,19.8019802,19.8019802,19.8019802,9.900990099,,19.8019802,,,,39.6039604,9.900990099,9.900990099,19.8019802,29.7029703,39.6039604,49.5049505,9.900990099,19.8019802,9.900990099
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",588,,,17.24137931,,8.620689655,,,8.620689655,,,,,,8.620689655,17.24137931,8.620689655,8.620689655,8.620689655,8.620689655,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",589,,12.19512195,,,,,,,12.19512195,12.19512195,,12.19512195,12.19512195,36.58536585,24.3902439,12.19512195,24.3902439,,36.58536585,12.19512195
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",590,21.73913043,10.86956522,21.73913043,43.47826087,43.47826087,32.60869565,10.86956522,,10.86956522,21.73913043,,,32.60869565,10.86956522,,32.60869565,54.34782609,43.47826087,10.86956522,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",591,12.34567901,12.34567901,,24.69135802,49.38271605,,24.69135802,,12.34567901,,12.34567901,12.34567901,,,,,,12.34567901,12.34567901,12.34567901
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",592,,,9.708737864,9.708737864,9.708737864,,9.708737864,,,9.708737864,,,,,29.12621359,29.12621359,,19.41747573,9.708737864,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",593,,10.41666667,,20.83333333,,,,10.41666667,,,10.41666667,,,20.83333333,20.83333333,20.83333333,31.25,,,
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",594.01,1.424501425,5.698005698,4.273504274,7.122507123,5.698005698,5.698005698,5.698005698,8.547008547,1.424501425,2.849002849,2.849002849,2.849002849,2.849002849,2.849002849,4.273504274,1.424501425,8.547008547,11.3960114,5.698005698,1.424501425
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",594.02,4.464285714,1.488095238,4.464285714,4.464285714,5.952380952,,2.976190476,7.44047619,4.464285714,2.976190476,,2.976190476,1.488095238,5.952380952,4.464285714,5.952380952,11.9047619,5.952380952,2.976190476,4.464285714
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",596,,,27.02702703,,,,,,,,,27.02702703,,,,,13.51351351,,,27.02702703
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",598,,24.59016393,,16.39344262,32.78688525,8.196721311,8.196721311,,16.39344262,8.196721311,,24.59016393,8.196721311,32.78688525,40.98360656,24.59016393,49.18032787,49.18032787,49.18032787,8.196721311
,"Notices of Foreclosure Rate, 1-4 Family Buildings (per 1,000 buildings)",600,2.915451895,2.915451895,,,,2.915451895,5.83090379,8.746355685,5.83090379,2.915451895,5.83090379,2.915451895,2.915451895,2.915451895,2.915451895,26.23906706,32.06997085,17.49271137,17.49271137,
