latitude,longitude,Tract
40.67913132,-73.96679858,
40.59026677,-73.94674462,
40.58493694,-73.9321895,
40.68780262,-73.9815095,
40.6842899,-73.94771876,
40.6391045,-73.94036408,
40.68067128,-73.97907061,
40.67446308,-73.95284927,
40.68628039,-73.92404571,
40.57957366,-73.95460824,
40.57567249,-73.95263103,
40.65699396,-74.00281122,
40.5772491,-73.963073,
40.61447059,-73.97002916,
40.6838999,-73.96094795,
40.62194313,-73.96464767,
40.63993397,-73.92702427,
40.61687782,-73.97020818,
40.68525312,-73.9702822,
40.64409567,-73.92372978,
40.5774519,-73.96212974,
40.6549917,-73.91860683,
40.63024354,-73.96518007,
40.67898416,-73.970696,
40.6291524,-73.96971995,
40.58806887,-73.94246909,
40.65065383,-73.9389699,
40.61947404,-73.96888145,
40.58988459,-73.93984636,
40.68165383,-73.96701004,
40.58369084,-73.94808913,
40.61092594,-73.95773475,
40.58892946,-73.9516063,
40.65263407,-73.92279022,
40.65092063,-73.93030252,
40.70917631,-73.94685161,
40.65961605,-73.91399853,
40.66825959,-73.914301,
40.69280986,-73.93229976,
40.58771846,-73.94433439,
40.58921649,-73.94304418,
40.68119469,-74.00083646,
40.70397987,-73.94003915,
40.6779098,-73.97781325,
40.6385777,-73.93091714,
40.65045177,-73.94661009,
40.68374713,-73.99312057,
40.65721423,-73.90345231,
40.58524589,-73.93987934,
40.68020625,-74.00869979,
40.68747116,-73.98620431,
40.62307358,-73.97330699,
40.68672936,-73.95257377,
40.68567099,-73.94875972,
40.66296112,-73.99762467,
40.67799494,-73.9780764,
40.70375128,-73.94990717,
40.58119207,-73.95921519,
40.69212784,-73.9514124,
40.68382536,-73.98100221,
40.66676193,-73.9234948,
40.68257252,-73.99654953,
40.68651319,-73.98584393,
40.6773432,-74.01155836,
40.62569906,-73.96824812,
40.57939516,-73.95439236,
40.65547267,-73.94236411,
40.68814843,-73.95986011,
40.58880423,-73.93676895,
40.68952853,-73.93473707,
40.71011135,-73.94487423,
40.59298469,-73.94797028,
40.67712003,-73.96904563,
40.64784837,-73.99827026,
40.58154596,-73.95866416,
40.68794316,-73.98539651,
40.69953362,-73.95235549,
40.65819346,-73.9987926,
40.66190448,-73.93363592,
40.6920039,-73.92504888,
40.67343932,-73.95295815,
40.68455249,-73.95194434,
40.68121917,-73.99285403,
40.70118996,-73.93772267,
