,latitude,longitude,Tract
136,40.67793073,-73.97299301,016100
137,40.65444371,-73.90891636,092200
138,40.68043196,-73.97635583,012902
139,40.66944306,-73.90781083,090600
140,40.65596473,-73.90944048,091600
141,40.70190677,-73.94388559999999,049100
142,40.68659012,-73.91555387,039700
143,40.63315082,-73.96702681,052600
144,40.69519054,-73.94432761,025901
145,40.69060168,-73.92559856,038700
146,40.67726216,-73.96690766,020500
147,40.68637109,-73.95583359999999,022900
148,40.67963431,-73.96928962,016300
149,40.68068531,-73.98081563,012901
150,40.68131815,-73.99641619,006500
151,40.68117548,-74.00000721,006500
152,40.69298237,-73.91510944,041500
153,40.64256836,-73.94578763,083000
154,40.61074871,-73.97026134,043800
155,40.66780088,-73.91026791,092400
156,40.6992221,-73.92421850000001,042100
157,40.64043468,-73.92456271,094401
158,40.67944973,-73.9783968,012902
159,40.57810526,-73.95478923,061004
160,40.65790481,-73.93761531,087401
161,40.6395016,-73.93370865,083600
162,40.66051206,-73.91196814,089800
163,40.68602513,-73.96330843,020100
164,40.65874136,-73.92722716,086600
165,40.67718433,-73.96365579,020500
166,40.683505100000005,-73.95468893,022900
167,40.67878902,-73.96967938,016300
168,40.64453361,-73.94574279,085400
169,40.67883457,-73.95750063,030500
170,40.67820914,-73.97861352,013100
171,40.70878218,-73.94343977,049300
172,40.68324795,-73.95692454,022900
173,40.6239639,-73.95825964,053200
174,40.65483906,-73.94322962,081600
175,40.612029799999995,-73.96754869,044000
176,40.655492100000004,-73.9281245,086800
177,40.66966405,-73.91686222,036100
178,40.6827229,-73.94831490000001,024900
179,40.65916669,-73.92705008,086600
180,40.68797698,-73.92883589,038500
181,40.65308756,-73.93246621,087000
182,40.65974457,-73.91707281,089400
183,40.67728861,-73.94324656,031300
184,40.67394583,-73.96472105,021500
185,40.69202459,-73.91913137,041700
186,40.5898167,-73.96054570000001,037000
187,40.67539152,-74.01291715,005300
188,40.65179768,-73.94290786,081600
189,40.68715557,-73.96205661,023100
190,40.68593214,-73.99749044,006700
191,40.62265681,-73.96476257,053400
192,40.67567157,-73.95482764,022100
193,40.66149038,-73.92963548,088000
194,40.68572263,-73.94191971,026500
195,40.68124073,-73.94832326,024900
196,40.68832572,-73.9648108,019700
197,40.68909420000001,-73.93853807,027900
198,40.58090665,-73.94598528,061200
199,40.58712118,-73.94101176,060000
200,40.64312704,-73.92843690000001,084600
201,40.68098029,-73.99158855,007500
202,40.61319008,-73.95689051,054400
203,40.58361831,-73.95875288,060800
204,40.67611137,-74.00001082,006500
205,40.7076943,-73.94719184,051100
