CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6
114,2002,1,18,36047011400,11219,7,16351,2843,82,2047,348,18,6,12,12,-0.307692,0,-0.153846,0,-11,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2003,1,7,36047011400,11219,23,16278,2717,72,2047,335,7,18,14,14,-0.611111,0,-0.306267,0,16,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2004,1,23,36047011400,11219,10,16088,2667,84,2087,352,23,11,11,13,2.285714,-0.115384,0.455637,-0.038461,-13,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,1,10,36047011400,11219,9,15897,2676,90,2100,353,10,12,13,13,-0.565217,-0.444444,0.369795,-0.186609,-1,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,1,9,36047011400,11219,11,15743,2708,70,2134,351,9,11,11,11,-0.1,0.285714,0.540165,-0.091371,2,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,1,11,36047011400,11219,11,15264,2640,62,2052,384,11,11,11,12,0.222222,-0.521739,-0.147665,-0.226823,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,1,11,36047011400,11219,18,15736,2631,65,2214,318,11,16,12,12,0,0.1,0.04074,-0.045341,7,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,1,18,36047011400,11219,20,17856,3389,87,2730,499,18,16,14,13,0.636363,1,0.286195,0.192753,2,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,1,20,36047011400,11219,0,19224,3318,105,2922,569,20,15,15,13,0.111111,0.818181,0.249158,0.639393,-20,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2001,2,12,36047011400,11219,21,16366,2882,101,2046,380,12,26,26,26,0,0,0,0,9,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2002,2,21,36047011400,11219,12,16351,2882,82,2047,353,21,18,22,22,0.75,0,0.375,0,-9,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2003,2,12,36047011400,11219,9,16278,2821,72,2047,336,12,7,17,17,-0.428571,0,0.107142,0,-3,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2004,2,9,36047011400,11219,24,16088,2640,84,2087,332,9,23,16,18,-0.25,-0.25,0.023809,-0.083333,15,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2005,2,24,36047011400,11219,9,15897,2651,90,2100,349,24,10,13,16,1.666667,0.142857,0.329365,-0.035714,-15,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2006,2,9,36047011400,11219,9,15743,2636,70,2134,362,9,9,14,13,-0.625,-0.25,0.263888,-0.119047,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2007,2,9,36047011400,11219,9,15264,2651,62,2052,351,9,11,10,12,0,0,0.347222,-0.035714,0,0,0,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2008,2,9,36047011400,11219,13,15736,2629,65,2214,397,9,11,10,12,0,-0.625,-0.208333,-0.291666,4,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2009,2,13,36047011400,11219,25,17856,2999,87,2730,426,13,18,13,11,0.444444,0.444444,0.148148,-0.060185,12,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2010,2,25,36047011400,11219,0,19224,3501,105,2922,519,25,20,16,13,0.923076,1.777778,0.45584,0.532407,-25,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2001,3,18,36047011400,11219,9,16366,2698,101,2046,328,18,12,12,12,0,0,0,0,-9,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2002,3,9,36047011400,11219,17,16351,2862,82,2047,382,9,21,16,16,-0.5,0,-0.25,0,8,1,1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
114,2003,3,17,36047011400,11219,14,16278,2829,72,2047,354,17,12,15,15,0.888888,0,0.129629,0,-3,0,-1,36047009400,NULL,36047010800,36047022000,36047021800,36047011600
