CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip,Y,NeighborCount,NeighborPreviousCount,NeighborPreviousThreeCount,NeighborOneYearPercentGrowth,NeighborOnYearGrowth,NeighborThreeYearPercentGrowth,NeighborThreeYearGrowth
22,2005,3,48,44,49,54,54,-0.020408,-1,-0.111111,-6,-0.111111,-6,36047002200,11220,0,203,231,265,-0.121212,-28,-0.233962,-62
22,2005,4,40,48,52,51,51,-0.230769,-12,-0.215686,-11,-0.215686,-11,36047002200,11220,0,216,222,211,-0.027027,-6,0.023697,5
22,2005,5,49,40,52,48,48,-0.057692,-3,0.020833,1,0.020833,1,36047002200,11220,0,218,220,201,-0.009091,-2,0.084577,17
22,2006,0,43,43,48,38,38,-0.104167,-5,0.131579,5,0.131579,5,36047002200,11220,0,216,231,228,-0.064935,-15,-0.052632,-12
22,2006,1,48,43,54,56,56,-0.111111,-6,-0.142857,-8,-0.142857,-8,36047002200,11220,0,239,229,224,0.043668,10,0.066964,15
22,2006,2,51,48,44,52,52,0.159091,7,-0.019231,-1,-0.019231,-1,36047002200,11220,0,220,231,255,-0.047619,-11,-0.137255,-35
22,2006,3,39,51,48,53,53,-0.1875,-9,-0.264151,-14,-0.264151,-14,36047002200,11220,0,216,203,247,0.064039,13,-0.125506,-31
22,2006,4,47,39,40,54,54,0.175,7,-0.12963,-7,-0.12963,-7,36047002200,11220,1,193,216,240,-0.106481,-23,-0.195833,-47
22,2006,5,36,47,49,48,48,-0.265306,-13,-0.25,-12,-0.25,-12,36047002200,11220,0,227,218,189,0.041284,9,0.201058,38
22,2007,0,31,31,43,40,40,-0.27907,-12,-0.225,-9,-0.225,-9,36047002200,11220,1,186,216,216,-0.138889,-30,-0.138889,-30
22,2007,1,42,31,48,43,43,-0.125,-6,-0.023256,-1,-0.023256,-1,36047002200,11220,0,216,239,219,-0.096234,-23,-0.013699,-3
22,2007,2,46,42,51,53,53,-0.098039,-5,-0.132075,-7,-0.132075,-7,36047002200,11220,0,246,220,226,0.118182,26,0.088496,20
22,2007,3,49,46,39,49,49,0.25641,10,0,0,0,0,36047002200,11220,0,210,216,231,-0.027778,-6,-0.090909,-21
22,2007,4,36,49,47,52,52,-0.234043,-11,-0.307692,-16,-0.307692,-16,36047002200,11220,1,202,193,222,0.046632,9,-0.09009,-20
22,2007,5,40,36,36,52,52,0.111111,4,-0.230769,-12,-0.230769,-12,36047002200,11220,1,202,227,220,-0.110132,-25,-0.081818,-18
22,2008,0,38,38,31,48,48,0.225806,7,-0.208333,-10,-0.208333,-10,36047002200,11220,1,196,186,231,0.053763,10,-0.151515,-35
22,2008,1,40,38,42,54,54,-0.047619,-2,-0.259259,-14,-0.259259,-14,36047002200,11220,1,206,216,229,-0.046296,-10,-0.100437,-23
22,2008,2,42,40,46,44,44,-0.086957,-4,-0.045455,-2,-0.045455,-2,36047002200,11220,0,216,246,231,-0.121951,-30,-0.064935,-15
22,2008,3,40,42,49,48,48,-0.183673,-9,-0.166667,-8,-0.166667,-8,36047002200,11220,1,238,210,203,0.133333,28,0.172414,35
22,2008,4,50,40,36,40,40,0.388889,14,0.25,10,0.25,10,36047002200,11220,0,205,202,216,0.014851,3,-0.050926,-11
22,2008,5,33,50,40,49,49,-0.175,-7,-0.326531,-16,-0.326531,-16,36047002200,11220,1,195,202,218,-0.034653,-7,-0.105505,-23
22,2009,0,53,53,38,43,43,0.394737,15,0.232558,10,0.232558,10,36047002200,11220,0,231,196,216,0.178571,35,0.069444,15
22,2009,1,42,53,40,48,48,0.05,2,-0.125,-6,-0.125,-6,36047002200,11220,0,258,206,239,0.252427,52,0.079498,19
22,2009,2,42,42,42,51,51,0,0,-0.176471,-9,-0.176471,-9,36047002200,11220,0,243,216,220,0.125,27,0.104545,23
22,2009,3,41,42,40,39,39,0.025,1,0.051282,2,0.051282,2,36047002200,11220,0,218,238,216,-0.084034,-20,0.009259,2
22,2009,4,42,41,50,47,47,-0.16,-8,-0.106383,-5,-0.106383,-5,36047002200,11220,0,232,205,193,0.131707,27,0.202073,39
22,2009,5,52,42,33,36,36,0.575758,19,0.444444,16,0.444444,16,36047002200,11220,0,215,195,227,0.102564,20,-0.052863,-12
22,2010,0,49,49,53,31,31,-0.075472,-4,0.580645,18,0.580645,18,36047002200,11220,0,265,231,186,0.147186,34,0.424731,79
22,2010,1,54,49,42,42,42,0.285714,12,0.285714,12,0.285714,12,36047002200,11220,0,229,258,216,-0.112403,-29,0.060185,13
22,2010,2,43,54,42,46,46,0.02381,1,-0.065217,-3,-0.065217,-3,36047002200,11220,0,267,243,246,0.098765,24,0.085366,21
22,2010,3,47,43,41,49,49,0.146341,6,-0.040816,-2,-0.040816,-2,36047002200,11220,0,248,218,210,0.137615,30,0.180952,38
