,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 31,63.69426752,76.43312102,63.69426752,0,82.80254777,0,70.064,0,,,,0.1999999999372,-0.166666666623056,-1,-,-1,-,-1,-,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 32,0,0,0,0,0,0,0,0,,,,-,-,-,-,-,-,-,-,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 33,58.1257414,60.49822064,155.3973903,56.90072639,135.5932203,72.81553398,95.445,18.00847458,50.67567568,52.36486486,,0.040816326516568,1.56862745145359,-0.633837310394009,1.38297872281345,-0.462985436743108,0.310778000010486,-0.811320922206506,1.81399046070675,0.0333333331491555,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 34,47.83258595,64.27503737,44.84304933,91.04258443,44.05286344,63.89301634,240.964,211.3943028,116.6666667,172.7272727,,0.343749999993467,-0.302325581362785,1.03024963266922,-0.516129032190744,0.450371470790367,2.77136679097658,-0.122714169751498,-0.448108746760417,0.480519479862709,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 35,111.5879828,124.4635193,60.08583691,64.3776824,40.77253219,92.07708779,121.076,53.81165919,105.1401869,149.5327103,,0.11538461559142,-0.517241379257705,0.0714285713691327,-0.366666666614889,1.25831173204845,0.314941674481905,-0.555554699610162,0.953855139994244,0.422222222623802,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 36,45.00703235,97.0464135,45.00703235,75.94936709,123.769339,125.1758087,125.176,109.7046414,111.1111111,220.8157525,,1.15624999989585,-0.53623188403557,0.687499999986113,0.62962963013679,0.0113636358678461,0.00000152825056202206,-0.123596844443024,0.0128205122595661,0.987341772698734,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 37,283.6879433,262.4113475,397.1631206,234.0425532,382.9787234,253.5211268,119.718,22.53521127,20.76677316,,,-0.0750000001850625,0.513513513740102,-0.410714285741263,0.63636363628595,-0.338028168903756,-0.527779000073456,-0.81176421866386,-0.0784744411229122,-1,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 38,33.33333333,29.62962963,29.62962963,7.407407407,7.407407407,0,10.989,0,,,,-0.111111111011111,0,-0.750000000016875,0,-1,-,-1,-,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 39,460.6365159,512.5628141,603.0150754,191.9191919,237.3737374,494.9152542,261.498,137.195122,169.0909091,158.1818182,,0.112727272822793,0.176470588212341,-0.681734006778034,0.236842105523684,1.08496213448422,-0.471630753384849,-0.475349249325043,0.232484848112894,-0.064516128975026,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 40,0,0,128.5714286,0,0,0,0,0,,,,-,-,-1,-,-,-,-,-,-,-
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 41,127.0661157,136.3636364,75.41322314,73.19587629,57.73195876,78.4114053,63.336,31.39013453,68.93464637,18.8003581,,0.0731707320144358,-0.446969697120808,-0.029402626723481,-0.211267605687681,0.358197556157196,-0.192260363684618,-0.504387164803587,1.19606087715611,-0.727272727285915,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 42,0,12.98701299,25.97402597,52.2875817,150.3267974,32.67973856,25.974,38.96103896,162.3376623,103.8961039,,-,0.99999999923,1.01307189576203,1.87500000023906,-0.782608695686881,-0.205195599949132,0.5000014999615,3.16666666581111,-0.35999999982752,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 43,126.1574074,215.2777778,170.1388889,39.00325027,94.25785482,298.9130435,177.335,233.7398374,155.4276316,101.9736842,,0.706422018624964,-0.209677419384807,-0.770756406591298,1.41666666668803,2.17122688682891,-0.406733818224965,0.318069401979305,-0.335040045681147,-0.343915344071935,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 45,27.00421941,131.6455696,74.26160338,58.08080808,48.82154882,59.32932072,92.882,120.4188482,53.1358885,27.00348432,,3.87499999912051,-0.435897435776677,-0.217889118515286,-0.159420289870044,0.215228155475793,0.565532840639609,0.296471309833983,-0.558741099966774,-0.491803278682354,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 46,0,7.874015748,62.99212598,35.97122302,0,71.94244604,319.149,92.19858156,70.92198582,113.4751773,,-,6.999999999492,-0.428956834518955,-1,-,3.43617110019519,-0.711111168889766,-0.230769230719172,0.5999999998308,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 47,621.5384615,864.6153846,892.3076923,762.611276,670.6231454,1159.159159,207.547,307.1672355,197.5308642,164.6090535,,0.391089108972221,0.0320284697603564,-0.145349432061598,-0.120622568135224,0.728480692846662,-0.820950385985778,0.4799888001272,-0.356927297670718,-0.166666666666667,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 49,97.91921665,274.1738066,140.7588739,128.0788177,84.97536946,93.49112426,144.67,55.69620253,,30.76923077,,1.79999999979575,-0.486607142945069,-0.0900835297176954,-0.336538461347774,0.100214389818082,0.547419620259041,-0.615012079007396,-1,-,-1
,"Total Violations (per 1,000 Rental Units)","The total number of housing code violations (class A, B, and C) issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 50,17.82531194,55.25846702,26.73796791,17.82531194,10.69518717,8.912655972,25.316,23.50813743,,39.78300181,,2.1000000003366,-0.516129032310604,-0.333333333333333,-0.3999999996634,-0.166666666947167,1.84045519983412,-0.0714118569284246,-1,-,-1
