Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,47,3,48900,4020
Brooklyn,2000,47,3,49000,6153
Brooklyn,2000,47,3,49100,5453
Brooklyn,2000,47,3,49200,3346
Brooklyn,2000,47,3,49300,7681
Brooklyn,2000,47,3,49400,5596
Brooklyn,2000,47,3,49500,2727
Brooklyn,2000,47,3,49600,4560
Brooklyn,2000,47,3,49700,2228
Brooklyn,2000,47,3,49800,4069
Brooklyn,2000,47,3,49900,1649
Brooklyn,2000,47,3,50000,3680
Brooklyn,2000,47,3,50100,2646
Brooklyn,2000,47,3,50202,2150
Brooklyn,2000,47,3,50300,2735
Brooklyn,2000,47,3,50400,4463
Brooklyn,2000,47,3,50500,4211
Brooklyn,2000,47,3,50600,6187
Brooklyn,2000,47,3,50700,728
Brooklyn,2000,47,3,50801,4342
Brooklyn,2000,47,3,50803,2896
Brooklyn,2000,47,3,50804,6646
Brooklyn,2000,47,3,50900,1838
Brooklyn,2000,47,3,51001,3829
Brooklyn,2000,47,3,51002,5444
Brooklyn,2000,47,3,51100,3730
Brooklyn,2000,47,3,51200,6871
Brooklyn,2000,47,3,51300,4362
Brooklyn,2000,47,3,51400,7692
Brooklyn,2000,47,3,51500,877
Brooklyn,2000,47,3,51601,5587
Brooklyn,2000,47,3,51602,4168
Brooklyn,2000,47,3,51700,1514
Brooklyn,2000,47,3,51800,3678
Brooklyn,2000,47,3,51900,3043
Brooklyn,2000,47,3,52000,4399
Brooklyn,2000,47,3,52300,5729
Brooklyn,2000,47,3,52500,3537
Brooklyn,2000,47,3,52600,4515
Brooklyn,2000,47,3,52700,7277
Brooklyn,2000,47,3,52800,2105
Brooklyn,2000,47,3,52900,4295
Brooklyn,2000,47,3,53000,3564
Brooklyn,2000,47,3,53100,2582
Brooklyn,2000,47,3,53200,2757
Brooklyn,2000,47,3,53300,7560
Brooklyn,2000,47,3,53400,4612
Brooklyn,2000,47,3,53500,4880
Brooklyn,2000,47,3,53700,1963
Brooklyn,2000,47,3,53800,4701
Brooklyn,2000,47,3,53900,3476
Brooklyn,2000,47,3,54200,4469
Brooklyn,2000,47,3,54300,38
Brooklyn,2000,47,3,54400,3705
Brooklyn,2000,47,3,54500,8257
Brooklyn,2000,47,3,54600,4571
Brooklyn,2000,47,3,54700,3364
Brooklyn,2000,47,3,54800,2077
Brooklyn,2000,47,3,54900,1488
Brooklyn,2000,47,3,55000,3572
Brooklyn,2000,47,3,55100,4313
Brooklyn,2000,47,3,55200,3489
Brooklyn,2000,47,3,55300,2583
Brooklyn,2000,47,3,55400,4284
Brooklyn,2000,47,3,55500,875
Brooklyn,2000,47,3,55600,3806
Brooklyn,2000,47,3,55700,1168
Brooklyn,2000,47,3,55800,2533
Brooklyn,2000,47,3,56000,3571
Brooklyn,2000,47,3,56100,3728
Brooklyn,2000,47,3,56200,1673
Brooklyn,2000,47,3,56300,4440
Brooklyn,2000,47,3,56400,2442
Brooklyn,2000,47,3,56500,3563
Brooklyn,2000,47,3,56600,2577
Brooklyn,2000,47,3,56800,1343
Brooklyn,2000,47,3,56900,1664
Brooklyn,2000,47,3,57000,3292
Brooklyn,2000,47,3,57100,5083
Brooklyn,2000,47,3,57200,5633
Brooklyn,2000,47,3,57300,2787
Brooklyn,2000,47,3,57400,2626
Brooklyn,2000,47,3,57500,5006
Brooklyn,2000,47,3,57600,2836
Brooklyn,2000,47,3,57800,2988
Brooklyn,2000,47,3,57900,1362
Brooklyn,2000,47,3,58000,3149
Brooklyn,2000,47,3,58200,2999
Brooklyn,2000,47,3,58400,3528
Brooklyn,2000,47,3,58600,2327
Brooklyn,2000,47,3,58800,3473
Brooklyn,2000,47,3,58900,1774
Brooklyn,2000,47,3,59000,1878
Brooklyn,2000,47,3,59100,4277
Brooklyn,2000,47,3,59200,3987
Brooklyn,2000,47,3,59300,2488
Brooklyn,2000,47,3,59401,7875
Brooklyn,2000,47,3,59402,4614
Brooklyn,2000,47,3,59600,2249
Brooklyn,2000,47,3,59800,3310
Brooklyn,2000,47,3,60000,6116
Brooklyn,2000,47,3,60600,2472
Brooklyn,2000,47,3,60800,3725
Brooklyn,2000,47,3,61002,2747
Brooklyn,2000,47,3,61003,1974
Brooklyn,2000,47,3,61004,6582
Brooklyn,2000,47,3,61200,1177
Brooklyn,2000,47,3,61600,1521
Brooklyn,2000,47,3,62000,1759
Brooklyn,2000,47,3,62200,3064
Brooklyn,2000,47,3,62600,2720
Brooklyn,2000,47,3,62800,5509
Brooklyn,2000,47,3,63200,1368
Brooklyn,2000,47,3,63600,1283
Brooklyn,2000,47,3,63800,1507
Brooklyn,2000,47,3,64000,1488
Brooklyn,2000,47,3,64200,2693
Brooklyn,2000,47,3,64400,2299
Brooklyn,2000,47,3,64600,2064
Brooklyn,2000,47,3,64800,1974
Brooklyn,2000,47,3,65000,1425
Brooklyn,2000,47,3,65200,1173
Brooklyn,2000,47,3,65400,1611
Brooklyn,2000,47,3,65600,1826
Brooklyn,2000,47,3,65800,1849
Brooklyn,2000,47,3,66000,1662
Brooklyn,2000,47,3,66200,1366
Brooklyn,2000,47,3,66600,1
Brooklyn,2000,47,3,67000,2364
Brooklyn,2000,47,3,67200,1319
Brooklyn,2000,47,3,67400,2009
Brooklyn,2000,47,3,67600,1738
Brooklyn,2000,47,3,67800,2637
Brooklyn,2000,47,3,68000,1780
Brooklyn,2000,47,3,68200,2238
Brooklyn,2000,47,3,68600,1546
Brooklyn,2000,47,3,68800,1559
Brooklyn,2000,47,3,69000,1773
Brooklyn,2000,47,3,69200,2353
Brooklyn,2000,47,3,69601,3344
Brooklyn,2000,47,3,69602,4583
Brooklyn,2000,47,3,69800,1394
Brooklyn,2000,47,3,70000,1736
Brooklyn,2000,47,3,70201,6502
Brooklyn,2000,47,3,70202,15
Brooklyn,2000,47,3,70203,0
Brooklyn,2000,47,3,70600,2876
Brooklyn,2000,47,3,72000,1643
Brooklyn,2000,47,3,72200,2853
Brooklyn,2000,47,3,72400,1984
Brooklyn,2000,47,3,72600,2535
Brooklyn,2000,47,3,72800,3777
Brooklyn,2000,47,3,73000,2327
Brooklyn,2000,47,3,73200,2345
Brooklyn,2000,47,3,73400,2165
Brooklyn,2000,47,3,73600,3356
Brooklyn,2000,47,3,73800,3306
Brooklyn,2000,47,3,74000,3623
Brooklyn,2000,47,3,74200,3348
Brooklyn,2000,47,3,74400,2349
Brooklyn,2000,47,3,74600,1985
Brooklyn,2000,47,3,74800,2094
Brooklyn,2000,47,3,75000,3148
Brooklyn,2000,47,3,75200,1260
Brooklyn,2000,47,3,75400,1600
Brooklyn,2000,47,3,75600,1974
Brooklyn,2000,47,3,75800,1877
Brooklyn,2000,47,3,76000,2993
Brooklyn,2000,47,3,76200,4671
Brooklyn,2000,47,3,76400,4192
Brooklyn,2000,47,3,76600,2297
Brooklyn,2000,47,3,76800,3601
Brooklyn,2000,47,3,77000,3063
Brooklyn,2000,47,3,77200,3325
Brooklyn,2000,47,3,77400,3121
Brooklyn,2000,47,3,77600,4123
Brooklyn,2000,47,3,78000,2555
Brooklyn,2000,47,3,78200,4320
Brooklyn,2000,47,3,78400,2740
Brooklyn,2000,47,3,78600,4469
Brooklyn,2000,47,3,78800,3775
Brooklyn,2000,47,3,79000,5908
Brooklyn,2000,47,3,79200,3815
Brooklyn,2000,47,3,79400,1932
Brooklyn,2000,47,3,79601,5195
Brooklyn,2000,47,3,79602,5189
Brooklyn,2000,47,3,79801,3579
Brooklyn,2000,47,3,79802,5512
Brooklyn,2000,47,3,80000,3927
Brooklyn,2000,47,3,80200,4817
Brooklyn,2000,47,3,80400,3380
Brooklyn,2000,47,3,80600,2770
