CensusTract,SchoolYear,GradeLevel,Count,PreviousGrade,PreviousYear,PreviousThreeYear,PreviousFiveYear,OneYearPercentGrowth,OneYearGrowth,ThreeYearPercentGrowth,ThreeYearGrowth,FiveYearPercentGrowth,FiveYearGrowth,LongTract,Zip
22,2005,0,48,48,40,52,52,0.2,8,-0.076923,-4,-0.076923,-4,36047002200,11220
22,2005,1,54,48,43,52,52,0.255814,11,0.038462,2,0.038462,2,36047002200,11220
22,2005,2,44,54,53,55,55,-0.169811,-9,-0.2,-11,-0.2,-11,36047002200,11220
22,2005,3,48,44,49,54,54,-0.020408,-1,-0.111111,-6,-0.111111,-6,36047002200,11220
22,2005,4,40,48,52,51,51,-0.230769,-12,-0.215686,-11,-0.215686,-11,36047002200,11220
22,2005,5,49,40,52,48,48,-0.057692,-3,0.020833,1,0.020833,1,36047002200,11220
22,2006,0,43,43,48,38,38,-0.104167,-5,0.131579,5,0.131579,5,36047002200,11220
22,2006,1,48,43,54,56,56,-0.111111,-6,-0.142857,-8,-0.142857,-8,36047002200,11220
22,2006,2,51,48,44,52,52,0.159091,7,-0.019231,-1,-0.019231,-1,36047002200,11220
22,2006,3,39,51,48,53,53,-0.1875,-9,-0.264151,-14,-0.264151,-14,36047002200,11220
22,2006,4,47,39,40,54,54,0.175,7,-0.12963,-7,-0.12963,-7,36047002200,11220
22,2006,5,36,47,49,48,48,-0.265306,-13,-0.25,-12,-0.25,-12,36047002200,11220
22,2007,0,31,31,43,40,40,-0.27907,-12,-0.225,-9,-0.225,-9,36047002200,11220
22,2007,1,42,31,48,43,43,-0.125,-6,-0.023256,-1,-0.023256,-1,36047002200,11220
22,2007,2,46,42,51,53,53,-0.098039,-5,-0.132075,-7,-0.132075,-7,36047002200,11220
22,2007,3,49,46,39,49,49,0.25641,10,0,0,0,0,36047002200,11220
22,2007,4,36,49,47,52,52,-0.234043,-11,-0.307692,-16,-0.307692,-16,36047002200,11220
22,2007,5,40,36,36,52,52,0.111111,4,-0.230769,-12,-0.230769,-12,36047002200,11220
22,2008,0,38,38,31,48,48,0.225806,7,-0.208333,-10,-0.208333,-10,36047002200,11220
22,2008,1,40,38,42,54,54,-0.047619,-2,-0.259259,-14,-0.259259,-14,36047002200,11220
22,2008,2,42,40,46,44,44,-0.086957,-4,-0.045455,-2,-0.045455,-2,36047002200,11220
