Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,1,0,0,2012,983471.7929,200093.1697,LAFAYETTE STREET,CATHERINE LANE
1,1,0,0,2013,951659.515,145411.6994,CLAWSON STREET,RENO AVENUE
1,1,0,0,2011,1043421.376,206025.9036,184 STREET,73 AVENUE
1,1,0,0,2013,965026.6139,164952.7883,WILLOW AVENUE,EDGEWATER STREET
1,1,0,0,2012,1010822.515,236769.893,UNION AVENUE,EAST 155 STREET
1,0,0,1,2009,941433.3907,136462.0818,ARMSTRONG AVENUE,OCEANVIEW PLACE
1,1,0,0,2012,982313.3011,198581.739,BEEKMAN STREET,PARK ROW
1,1,0,0,2012,982322.7827,198563.4221,BEEKMAN STREET,PARK ROW
1,1,0,0,2012,982304.3871,198598.6649,BEEKMAN STREET,PARK ROW
1,0,0,1,2012,1025607.797,184369.8223,DUMONT AVENUE,85 STREET
1,0,0,1,2009,960485.2647,165587.039,VAN DUZER STREET,YOUNG STREET
1,1,0,0,2013,1012544.664,252687.1082,RYER AVENUE,EAST 187 STREET
1,1,0,0,2012,1064212.459,206278.2788,LITTLE NECK PARKWAY,86 AVENUE
1,1,0,0,2012,1064194.493,206271.0147,LITTLE NECK PARKWAY,86 AVENUE
1,1,0,0,2012,1064229.637,206283.6721,LITTLE NECK PARKWAY,86 AVENUE
1,1,0,0,2009,985168.2626,215253.5095,LINCOLN TUNNEL BUS EXIT,LINCOLN TUNNEL
1,1,0,0,2009,985065.1558,215124.2709,LINCOLN TUNNEL,LINCOLN TUNNEL EXIT
1,1,0,0,2011,998300.923,159459.0791,AVENUE S,EAST 23 STREET
1,0,0,1,2012,1034205.296,152631.8555,ROCKAWAY FREEWAY,BEACH 98 STREET
2,0,0,2,2014,1049009.813,182682.0405,144 ROAD,FARMERS BOULEVARD
1,1,0,0,2013,988861.1916,209393.5019,LEXINGTON AVENUE,EAST 26 STREET
1,0,0,1,2011,1054277.243,186161.2262,134 ROAD,222 STREET
1,1,0,0,2009,1037519.885,238736.4868,LONGSTREET AVENUE,MILES AVENUE
1,0,0,1,2011,1053599.757,200456.9518,211 STREET,94 AVENUE
1,1,0,0,2011,1027039.588,190138.6559,ATLANTIC AVENUE,97 STREET
1,1,0,0,2011,1026978.772,190354.9743,ATLANTIC AVENUE,97 STREET
1,1,0,0,2010,935618.488,131343.2239,POILLON AVENUE,NEWTON STREET
1,1,0,0,2009,1014938.74,232986.958,TIFFANY STREET,VIELE AVENUE
1,0,0,1,2009,1009600.785,250841.2786,GRAND AVENUE,WEST 180 STREET
1,0,0,1,2014,1026218.957,250715.393,RHINELANDER AVENUE,SEMINOLE AVENUE
1,0,0,1,2016,1020694.503,256154.2991,OLINVILLE AVENUE,ADEE AVENUE
1,1,0,0,2011,1039438.766,191627.9409,WALTHAM STREET,LAKEWOOD AVENUE
1,1,0,0,2009,1012553.161,247384.1828,BATHGATE AVENUE,EAST 176 STREET
1,0,0,1,2009,959322.5475,169791.0889,DUER LANE,WOODSTOCK AVENUE
1,0,0,1,2010,1022178.302,257671.8321,BARNES AVENUE,BARTHOLDI STREET
1,1,0,0,2009,988145.8583,170277.0558,46 STREET,15 AVENUE
1,1,0,0,2013,1045332.337,197514.1559,JAMAICA AVENUE,181 STREET
1,1,0,0,2013,1045326.802,197528.0568,JAMAICA AVENUE,181 STREET
1,1,0,0,2013,1045338.869,197496.5312,JAMAICA AVENUE,181 STREET
1,1,0,0,2011,946460.5296,159406.9138,PRESIDENT STREET,HARRIS AVENUE
1,1,0,0,2009,1007741.452,163151.2597,EAST 60 STREET,AVENUE U
1,1,0,0,2016,988190.4514,183296.5275,5 AVENUE,8 STREET
1,1,0,0,2012,945108.4851,163647.6793,EARLEY AVENUE,WADE STREET
1,0,0,1,2012,934858.7448,162974.9871,LOIS LANE,HUGHES AVENUE
1,1,0,0,2010,1024408.465,233587.0125,WHITE PLAINS ROAD,STARBOARD COURT
2,2,0,0,2009,984998.427,199212.2562,CATHERINE STREET,EAST BROADWAY
1,0,0,1,2010,1024742.772,215990.2239,GRAND CENTRAL PY EB EN VAN WYCK,GCP EB ENTRANCE WHITESTONE EXPWY
1,0,0,1,2009,1031234.232,208489.3993,64 AVENUE,136 STREET
1,1,0,0,2010,1045814.872,218055.4987,38 AVENUE,209 STREET
1,1,0,0,2014,999913.072,172292.9803,EAST 35 STREET,VICTOR ROAD
1,1,0,0,2011,982858.241,187125.2662,GOWANUS EXPWY WB EN HAMILTON AVE,HAMILTON AVENUE
1,0,0,1,2011,992741.7346,225381.8849,86 ST TRANSVERSE,WEST 86 STREET
1,0,0,1,2011,954915.414,149721.1691,CLAWSON STREET,LINCOLN AVENUE
1,1,0,0,2009,1023297.746,210652.7218,104 STREET,NICOLLS AVENUE
1,0,0,1,2013,984163.8847,148011.3628,WEST 35 STREET,SURF AVENUE
1,0,0,1,2010,990148.4265,155255.0291,86 STREET,WEST 8 STREET
1,1,0,0,2009,1039181.788,214835.305,45 AVENUE,165 STREET
1,1,0,0,2016,1022049.53,192765.0056,PARK LANE SOUTH,80 STREET
1,1,0,0,2009,996256.6423,179377.2243,RUTLAND ROAD,BEDFORD AVENUE
1,0,0,1,2016,1013483.819,180871.739,RIVERDALE AVENUE,SHEFFIELD AVENUE
2,0,0,2,2010,934201.5551,140648.7007,WOEHRLE AVENUE,LUDLOW STREET
1,1,0,0,2010,939982.9478,164133.5084,GOETHALS ROAD NORTH,COOKE STREET
1,0,0,1,2010,1056203.361,214867.4935,CROSS ISLAND PKWY ET 30 E NB,CROSS ISLAND PARKWAY ET 30 SB
1,0,0,1,2010,1056380.415,215084.0906,CROSS ISLAND PKWY ET 30 E NB,LONG ISLAND EXPRESSWAY
1,0,0,1,2010,1056340.203,215080.5594,LONG ISLAND EXPRESSWAY,LONG ISLAND EXPWY ET 31 N-S WB
1,0,0,1,2010,1056363.223,215041.9781,CROSS ISLAND PKWY ET 30 E NB,LONG ISLAND EXPRESSWAY
1,1,0,0,2012,1053102.643,210797.7838,224 STREET,223 PLACE
1,1,0,0,2010,991282.755,211254.2888,2 AVENUE,QUEENS MIDTOWN TUNNEL EXIT
1,1,0,0,2010,991269.3721,211230.1681,2 AVENUE,QUEENS MIDTOWN TUNNEL EXIT
1,1,0,0,2010,991293.2369,211272.7271,2 AVENUE,QUEENS MIDTOWN TUNNEL EXIT
1,1,0,0,2016,1003410.286,247521.7445,CROSS BRONX EXPRESSWAY EN RAMP,ALEXANDER HAMILTON BRIDGE
1,1,0,0,2016,1003374.174,247555.357,CROSS BRONX EXPRESSWAY EN RAMP,ALEXANDER HAMILTON BRIDGE
1,1,0,0,2016,1003452.045,247431.725,CROSS BRONX EXPRESSWAY EN RAMP,ALEXANDER HAMILTON BRIDGE
1,1,0,0,2016,1003433.537,247483.3588,CROSS BRONX EXPRESSWAY EN RAMP,ALEXANDER HAMILTON BRIDGE
1,1,0,0,2016,1003294.791,247597.6039,CROSS BRONX EXPRESSWAY EN RAMP,ALEXANDER HAMILTON BRIDGE
1,0,1,0,2011,982208.2062,170319.372,60 STREET,9 AVENUE
1,1,0,0,2011,979061.4608,173824.3322,GOWANUS EXPRESSWAY EXIT 22 WB,57 STREET
1,1,0,0,2010,990326.2378,225791.5262,BROADWAY,WEST 83 STREET
1,1,0,0,2010,990354.9058,225775.6604,BROADWAY,WEST 83 STREET
1,1,0,0,2010,990297.8156,225807.4484,BROADWAY,WEST 83 STREET
1,0,0,1,2012,949202.1711,164690.0296,MILLER STREET,KEIBER COURT
1,0,0,1,2012,1033188.847,201968.5728,77 AVENUE,138 STREET
1,1,0,0,2015,1008104.781,243720.778,GRANT AVENUE,EAST 169 STREET
1,0,0,1,2016,1022519.302,253760.5542,BRONXWOOD AVENUE,MACE AVENUE
1,1,0,0,2009,999576.1009,212586.4253,43 AVENUE,22 STREET
1,1,0,0,2009,999622.0194,212556.1858,43 AVENUE,22 STREET
