CensusTract,SchoolYear,GradeLevel,Count,LongTract,Zip,NextYearCount,TotalCount,TotalCountByGrade,TotalCountByTract,TotalCountByZip,TotalCountByZipGrade,TotalCountByTractGrade,PrevGradeCount,PrevGradeCountmavg3,PrevGradeCountmavg5,OneYearGrowth,ThreeYearGrowth,OneYearGrowthmavg3,ThreeYearGrowthmavg3,Target,Y,Y2
20,2010,4,5,36047002000,11220,0,19221,2880,35,3927,571,5,10,8,7,-0.4444444,-0.5454545,-0.1741222,0.3681818,-5,0,-1
20,2001,5,7,36047002000,11220,6,16345,2611,31,3382,519,7,8,8,8,0,0,0,0,-1,0,-1
20,2002,5,6,36047002000,11220,2,16334,2512,26,3329,488,6,3,5,5,-0.1428571,0,-0.07142857,0,-4,0,-1
20,2003,5,2,36047002000,11220,2,16266,2586,29,3277,509,2,3,4,4,-0.6666667,0,-0.2698413,0,0,0,0
20,2004,5,2,36047002000,11220,8,16081,2713,30,3191,521,2,7,4,5,0,-0.7142857,-0.2698413,-0.2380952,6,1,1
20,2005,5,8,36047002000,11220,6,15892,2714,41,3148,496,8,5,5,5,3,0.3333333,0.7777778,-0.1269841,-2,0,-1
20,2006,5,6,36047002000,11220,6,15737,2617,36,3167,495,6,4,5,4,-0.25,2,0.9166667,0.5396825,0,0,0
20,2007,5,6,36047002000,11220,11,15258,2491,44,3034,491,6,11,6,6,0,2,0.9166667,1.444444,5,1,1
20,2008,5,11,36047002000,11220,7,15731,2511,49,3083,478,11,7,7,6,0.8333333,0.375,0.1944444,1.458333,-4,0,-1
20,2009,5,7,36047002000,11220,5,17855,2738,41,3581,548,7,9,9,7,-0.3636364,0.1666667,0.1565657,0.8472222,-2,0,-1
20,2010,5,5,36047002000,11220,0,19221,2915,35,3927,577,5,5,7,7,-0.2857143,-0.1666667,0.06132756,0.125,-5,0,-1
22,2001,0,49,36047002200,11220,52,16345,2702,302,3382,562,49,0,0,0,0,0,0,0,3,1,1
22,2002,0,52,36047002200,11220,38,16334,2613,312,3329,525,52,0,0,0,0.06122449,0,0.03061224,0,-14,0,-1
22,2003,0,38,36047002200,11220,40,16266,2546,301,3277,519,38,0,0,0,-0.2692308,0,-0.06933543,0,2,1,1
22,2004,0,40,36047002200,11220,48,16081,2606,289,3191,535,40,0,0,0,0.05263158,-0.1836735,-0.05179157,-0.06122449,8,1,1
22,2005,0,48,36047002200,11220,43,15892,2615,283,3148,537,48,0,0,0,0.2,-0.07692308,-0.005533063,-0.08686552,-5,0,-1
22,2006,0,43,36047002200,11220,31,15737,2616,264,3167,529,43,0,0,0,-0.1041667,0.1315789,0.0494883,-0.04300587,-12,0,-1
22,2007,0,31,36047002200,11220,38,15258,2454,244,3034,446,31,0,0,0,-0.2790698,-0.225,-0.06107881,-0.05678138,7,1,1
22,2008,0,38,36047002200,11220,53,15731,2796,243,3083,498,38,0,0,0,0.2258065,-0.2083333,-0.05247666,-0.1005848,15,1,1
22,2009,0,53,36047002200,11220,49,17855,3070,272,3581,616,53,0,0,0,0.3947368,0.2325581,0.1138245,-0.06692506,-4,0,-1
22,2010,0,49,36047002200,11220,0,19221,3560,280,3927,721,49,0,0,0,-0.0754717,0.5806452,0.1816905,0.2016233,-49,0,-1
22,2001,1,50,36047002200,11220,52,16345,2934,302,3382,624,50,49,49,49,0,0,0,0,2,1,1
22,2002,1,52,36047002200,11220,56,16334,2841,312,3329,587,52,52,50,50,0.04,0,0.02,0,4,1,1
22,2003,1,56,36047002200,11220,43,16266,2716,301,3277,552,56,38,46,46,0.07692308,0,0.03897436,0,-13,0,-1
22,2004,1,43,36047002200,11220,54,16081,2667,289,3191,537,43,40,43,44,-0.2321429,-0.14,-0.03840659,-0.04666667,11,1,1
22,2005,1,54,36047002200,11220,48,15892,2676,283,3148,556,54,48,42,45,0.255814,0.03846154,0.03353139,-0.03384615,-6,0,-1
22,2006,1,48,36047002200,11220,42,15737,2707,264,3167,571,48,43,43,44,-0.1111111,-0.1428571,-0.02914667,-0.0814652,-6,0,-1
22,2007,1,42,36047002200,11220,40,15258,2639,244,3034,523,42,31,40,40,-0.125,-0.02325581,0.006567614,-0.04255047,-2,0,-1
22,2008,1,40,36047002200,11220,42,15731,2630,243,3083,517,40,38,37,40,-0.04761905,-0.2592593,-0.09457672,-0.1417907,2,1,1
22,2009,1,42,36047002200,11220,54,17855,3389,272,3581,669,42,53,40,42,0.05,-0.125,-0.04087302,-0.1358384,12,1,1
22,2010,1,54,36047002200,11220,0,19221,3318,280,3927,676,54,49,46,42,0.2857143,0.2857143,0.09603175,-0.03284832,-54,0,-1
22,2001,2,61,36047002200,11220,55,16345,2877,302,3382,602,61,50,50,50,0,0,0,0,-6,0,-1
22,2002,2,55,36047002200,11220,52,16334,2880,312,3329,599,55,52,51,51,-0.09836066,0,-0.04918033,0,-3,0,-1
22,2003,2,52,36047002200,11220,53,16266,2821,301,3277,588,52,56,52,52,-0.05454545,0,-0.0509687,0,1,1,1
22,2004,2,53,36047002200,11220,44,16081,2640,289,3191,539,53,43,50,50,0.01923077,-0.1311475,-0.04455845,-0.04371585,-9,0,-1
22,2005,2,44,36047002200,11220,51,15892,2651,283,3148,539,44,54,51,51,-0.1698113,-0.2,-0.06837534,-0.1103825,7,1,1
22,2006,2,51,36047002200,11220,46,15737,2635,264,3167,546,51,48,48,50,0.1590909,-0.01923077,0.002836786,-0.1167928,-5,0,-1
22,2007,2,46,36047002200,11220,42,15258,2650,244,3034,557,46,42,48,48,-0.09803922,-0.1320755,-0.03625321,-0.1171021,-4,0,-1
