"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,CensusTract,2000,2001,2002,2003,2004,2005,Percent-Increase-2004-2005,2006,Percent-Increase-2005-2006,2007,Percent-Increase-2006-2007,2009,Percent-Increase-2008-2009,2010,Percent-Increase-2009-2010
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 128.02,0,29.76190476,0,0,17.96407186,23.95209581,0.333333333147778,0,-1,11.9760479,-,41.91616766,2.500000000835,17.96407186,-0.571428571292245
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 130,13.15789474,9.287925697,18.57585139,10.82753287,17.01469451,29.41176471,0.728609625798095,10.844,-0.631304000051617,28.68217054,1.64498068424935,95.49689441,2.32948631892487,41.92546584,-0.560975609740773
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 132,2.141327623,4.282655246,12.84796574,0,0,4.282655246,-,23.404,4.46483400032242,14.89361702,-0.363629421466416,65.95744681,3.42857142905102,40.42553191,-0.387096774281582
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 134,12.91989664,11.62790698,5.167958656,16.75257732,12.88659794,11.58301158,-0.101158301521433,25.253,1.18017566723351,26.61596958,0.0539725806834832,51.76767677,0.94498557020067,20.2020202,-0.609756097617513
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 136,12.86549708,1.169590643,9.356725146,15.27614571,12.92596945,5.793742758,-0.551774992165095,19.495,2.36483699989636,82.4742268,3.23053228007181,107.674685,0.305555555690278,74.4558992,-0.308510638317632
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 138,4.400440044,2.200220022,6.600660066,3.296703297,9.89010989,5.464480874,-0.447480267178305,24.017,3.39511100025492,26.17230098,0.0897406412124745,19.62922574,-0.249999999808958,17.44820065,-0.111111111507346
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 140,0,4.77326969,4.77326969,7.159904535,0,2.369668246,-,2.387,0.00731400018937512,11.9047619,3.98733217427734,7.142857143,-0.399999999748,42.85714286,5.00000000028
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 142,30.83700441,37.44493392,11.01321586,24.17582418,26.37362637,26.37362637,0,34.066,0.291669166844271,37.36263736,0.0967720706863147,8.791208791,-0.76470588234192,40.65934066,3.62500000018484
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 144,0,0,0,0,0,0,-,0,-,0,-,,-,,-
,"Serious Housing Violations (per 1,000 Rental Units)","The number of class C (immediately hazardous) housing code violations issued by the the New York City Department of Housing Preservation and Development per 1,000 rental units. <i>Source: New York City Department of Housing Preservation and Development, New York City Department of Finance </i>",Brooklyn 146,0,7.633587786,0,0,0,0,-,0,-,0,-,,-,,-
